"","date","pred_class"
"1",2020-07-01,"0"
"2",2020-07-02,"1"
"3",2020-07-03,"1"
"4",2020-07-04,"0"
"5",2020-07-05,"1"
"6",2020-07-06,"0"
"7",2020-07-07,"1"
"8",2020-07-08,"0"
"9",2020-07-09,"1"
"10",2020-07-10,"1"
"11",2020-07-11,"1"
"12",2020-07-12,"0"
"13",2020-07-13,"1"
"14",2020-07-14,"0"
"15",2020-07-15,"0"
"16",2020-07-16,"1"
"17",2020-07-17,"1"
"18",2020-07-18,"1"
"19",2020-07-19,"1"
"20",2020-07-20,"1"
"21",2020-07-21,"1"
"22",2020-07-22,"1"
"23",2020-07-23,"1"
"24",2020-07-24,"1"
"25",2020-07-25,"1"
"26",2020-07-26,"1"
"27",2020-07-27,"0"
"28",2020-07-28,"1"
"29",2020-07-29,"0"
"30",2020-07-30,"1"
"31",2020-07-31,"1"
"32",2020-08-01,"0"
"33",2020-08-02,"1"
"34",2020-08-03,"0"
"35",2020-08-04,"1"
"36",2020-08-05,"1"
"37",2020-08-06,"0"
"38",2020-08-07,"1"
"39",2020-08-08,"0"
"40",2020-08-09,"1"
"41",2020-08-10,"0"
"42",2020-08-11,"1"
"43",2020-08-12,"1"
"44",2020-08-13,"1"
"45",2020-08-14,"1"
"46",2020-08-15,"1"
"47",2020-08-16,"1"
"48",2020-08-17,"0"
"49",2020-08-18,"0"
"50",2020-08-19,"1"
"51",2020-08-20,"0"
"52",2020-08-21,"1"
"53",2020-08-22,"0"
"54",2020-08-23,"1"
"55",2020-08-24,"0"
"56",2020-08-25,"1"
"57",2020-08-26,"0"
"58",2020-08-27,"1"
"59",2020-08-28,"1"
"60",2020-08-29,"1"
"61",2020-08-30,"0"
"62",2020-08-31,"1"
"63",2020-09-01,"0"
"64",2020-09-02,"0"
"65",2020-09-03,"1"
"66",2020-09-04,"0"
"67",2020-09-05,"1"
"68",2020-09-06,"0"
"69",2020-09-07,"0"
"70",2020-09-08,"1"
"71",2020-09-09,"1"
"72",2020-09-10,"1"
"73",2020-09-11,"1"
"74",2020-09-12,"0"
"75",2020-09-13,"1"
"76",2020-09-14,"1"
"77",2020-09-15,"1"
"78",2020-09-16,"0"
"79",2020-09-17,"1"
"80",2020-09-18,"1"
"81",2020-09-19,"0"
"82",2020-09-20,"0"
"83",2020-09-21,"1"
"84",2020-09-22,"0"
"85",2020-09-23,"1"
"86",2020-09-24,"0"
"87",2020-09-25,"1"
"88",2020-09-26,"1"
"89",2020-09-27,"1"
"90",2020-09-28,"1"
"91",2020-09-29,"0"
"92",2020-09-30,"0"
"93",2020-10-01,"0"
"94",2020-10-02,"1"
"95",2020-10-03,"1"
"96",2020-10-04,"1"
"97",2020-10-05,"0"
"98",2020-10-06,"1"
"99",2020-10-07,"1"
"100",2020-10-08,"1"
"101",2020-10-09,"1"
"102",2020-10-10,"1"
"103",2020-10-11,"1"
"104",2020-10-12,"0"
"105",2020-10-13,"1"
"106",2020-10-14,"1"
"107",2020-10-15,"0"
"108",2020-10-16,"1"
"109",2020-10-17,"1"
"110",2020-10-18,"1"
"111",2020-10-19,"1"
"112",2020-10-20,"1"
"113",2020-10-21,"1"
"114",2020-10-22,"0"
"115",2020-10-23,"1"
"116",2020-10-24,"0"
"117",2020-10-25,"1"
"118",2020-10-26,"1"
"119",2020-10-27,"0"
"120",2020-10-28,"1"
"121",2020-10-29,"1"
"122",2020-10-30,"1"
"123",2020-10-31,"0"
"124",2020-11-01,"0"
"125",2020-11-02,"1"
"126",2020-11-03,"1"
"127",2020-11-04,"1"
"128",2020-11-05,"0"
"129",2020-11-06,"0"
"130",2020-11-07,"1"
"131",2020-11-08,"0"
"132",2020-11-09,"0"
"133",2020-11-10,"1"
"134",2020-11-11,"1"
"135",2020-11-12,"1"
"136",2020-11-13,"0"
"137",2020-11-14,"1"
"138",2020-11-15,"1"
"139",2020-11-16,"1"
"140",2020-11-17,"1"
"141",2020-11-18,"1"
"142",2020-11-19,"1"
"143",2020-11-20,"0"
"144",2020-11-21,"0"
"145",2020-11-22,"1"
"146",2020-11-23,"1"
"147",2020-11-24,"0"
"148",2020-11-25,"0"
"149",2020-11-26,"1"
"150",2020-11-27,"1"
"151",2020-11-28,"1"
"152",2020-11-29,"1"
