month,up,down,status,link,css path
2013-11,8,1,good,https://www.cnbc.com/2018/01/23/one-person-caused-bitcoin-to-spike-from-150-to-1000-in-2013.html,p
2013-12,3,6,volatile,https://www.forbes.com/sites/kitconews/2013/12/10/2013-year-of-the-bitcoin/?sh=1dac37cc303c,p
2014-01,0,1,bad,https://www.cnbc.com/2015/01/14/bitcoin-falls-below-200-making-some-investors-worry-about-downward-spiral.html,#RegularArticle-ArticleBody-5 p
2014-02,1,4,volatile,https://siliconangle.com/2014/02/26/bitcoin-weekly-2014-february-26-mtgox-is-dead-but-its-not-all-about-mtgox/,.single-post-content p
2014-03,1,1,volatile,https://www.coindesk.com/bitcoin-price-drops-new-chinese-bank-rumours,p
2014-04,3,1,volatile,https://moneymorning.com/2014/04/10/why-the-bitcoin-price-is-falling-today/,.entry-content > p
2014-10,0,1,bad,https://www.bbc.com/news/technology-29507443,.classic-body p
2014-11,1,0,good,https://www.coindesk.com/bitcoin-price-crosses-400-first-time-since-september,.classic-body p
2015-11,3,2,volatile,https://www.coindesk.com/bitcoin-hits-450-for-the-first-in-2015,.classic-body p
2016-01,0,1,bad,https://bitcoinaverage.com/blog/bitcoin-price-report-01-18-2016/,p
2016-06,2,1,volatile,https://www.coindesk.com/brexit-bitfinex-shaped-bitcoins-price-2016,.classic-body p
2016-08,0,1,bad,https://www.coindesk.com/bitcoin-drops-12-exchange-hack-amplifies-price-decline,.classic-body p
2017-01,0,2,bad,https://www.businessinsider.com/bitcoin-price-january-18-2017-2017-1,p
2017-03,0,1,bad,https://www.vox.com/new-money/2017/3/10/14888744/bitcoin-etf-rejected-crash,p
2017-05,0,1,bad,https://qz.com/981814/the-strange-mix-of-reasons-why-bitcoin-has-soared-to-all-time-records/,.cyhZ9
2017-06,0,1,bad,https://www.cnbc.com/2018/06/13/much-of-bitcoins-2017-boom-was-market-manipulation-researcher-says.html,"#RegularArticle-ArticleBody-5 p , #RegularArticle-KeyPoints-4 li"
2017-07,3,0,good,https://www.cnbc.com/2017/07/20/bitcoin-confidence-currency-future.html,"#RegularArticle-ArticleBody-5 p , #RegularArticle-KeyPoints-4 li"
2017-08,1,0,good,https://www.coindesk.com/bitcoin-prices-100-already-today,.classic-body p
2017-09,2,1,volatile,https://www.cnbc.com/2017/09/18/bitcoin-rebounds-digital-currency-recovers-32-percent.html,"#RegularArticle-ArticleBody-5 p , #RegularArticle-KeyPoints-4 span"
2017-10,1,0,good,https://www.coindesk.com/6300-bitcoin-price-sets-another-new-time-high,.classic-body p
2017-12,5,4,volatile,https://www.coindesk.com/900-20000-bitcoins-historic-2017-price-run-revisited,.classic-body p
2018-01,2,2,volatile,https://www.businessinsider.com/bitcoin-price-global-cryptocurrency-market-capitalisation-january-3-2018-1,p
2018-02,1,2,volatile,https://www.businessinsider.com/bitcoin-ethereum-ripple-prices-on-february-5-bitcoin-below-8000-2018-2,p
2018-03,1,1,volatile,https://www.coindesk.com/bitcon-price-btc-usd-worst-performing-crypto-march-9-2018,.classic-body p
2018-04,1,0,good,https://www.coindesk.com/33-bitcoins-price-just-best-month-2018,.classic-body p
2018-06,0,1,bad,https://www.marketwatch.com/story/bitcoins-plunge-means-one-thing-calls-for-rallies-to-25000-by-year-end-are-fadingfast-2018-06-29,#js-article__body p
2018-09,0,1,bad,https://coinsavage.com/content/2018/09/what-caused-the-bitcoin-dump-on-september-5th/,.graf--p
2018-11,1,3,volatile,https://www.coindesk.com/bitcoin-price-ends-november-with-worst-monthly-decline-in-7-years,.classic-body p
2018-12,0,2,bad,https://www.cnbc.com/2018/12/03/bitcoin-drops-8percent-to-kick-off-december.html,"#RegularArticle-ArticleBody-5 p , #RegularArticle-KeyPoints-4 li"
2019-04,1,0,good,https://www.coindesk.com/bitcoin-price-eyes-april-gains-for-fourth-year-running,.classic-body p
2019-05,1,1,volatile,https://www.coindesk.com/bitcoin-hits-new-2019-high-above-8900,.classic-body p
2019-06,2,1,volatile,https://news.bitcoin.com/bitcoins-big-price-drop-is-the-latest-in-a-long-history-of-flash-crashes/,p
2019-07,1,0,good,https://www.forbes.com/sites/cbovaird/2019/07/10/bitcoin-tripled-in-the-first-half-of-2019/?sh=398b3e5a1654,p
2019-09,0,1,bad,https://www.forbes.com/sites/investor/2019/09/25/bitcoin-has-crashed-what-now/,"p , p:nth-child(9) span"
2019-10,2,0,good,https://www.forbes.com/sites/cbovaird/2019/11/06/bitcoin-gains-in-october-as-volatility-returns/,p
2020-03,3,3,volatile,https://www.cnbc.com/2020/03/13/bitcoin-loses-half-of-its-value-in-two-day-plunge.html,"p , #RegularArticle-KeyPoints-4 li"
2020-05,0,1,bad,https://www.cnbc.com/2020/05/11/bitcoin-halving-heres-what-you-need-to-know.html,#RegularArticle-ArticleBody-5 p
2020-11,0,1,bad,https://asiatimes.com/2020/11/why-bitcoin-crashed/,".wp-gdpr-cookie-notice-button , #main p"
